,Topic,Subject,Question,Answer
39,Blockchain,Definición de blockchain,What is the blockchain definition?,The Blockchain Foundation is a non-profit organization to promote the use of blockchain technology.
40,Blockchain,Definición de blockchain,What new technology is being used to help businesses manage their digital resources?,A new technology is being used to help companies manage their assets.
41,Blockchain,Ejemplo de blockchain,What is the technology that allows information to be transferred between computers?,Blockchain technology allows information to be transferred between computers.
42,Blockchain,Ejemplo de blockchain,What is the technology that is used in the banking industry?,The use of blockchain technology in the banking industry has increased in recent years.
43,Blockchain,Definición de blockchain,What is the blockchain definition?,The Blockchain Foundation is a non-profit organization to promote the use of blockchain technology.
44,Blockchain,Blockchain example,What type of technology is expected to be the global market's fastest growing segment?,The telecommunications industry is expected to grow at the fastest rate in the global blockchain market.
45,Bot,Ejemplo de bot,What is the election bot's name in the election?,"The United States is currently having elections to choose a new president, and people have been talking about using bots."
46,Bot,Definición de bot,What is a bot definition?,A bot is a computer program that does the same thing over and over.
47,Bot,Definición de bot,What is a bot definition?,A bot is a computer program. It is made to do certain things.
48,Bot,Ejemplo de bot,What is a bot?,A bot is a computer program that can play video games.
49,Bot,Tipos de bot,What is a bot?,Bots are computer programs that people use to control other people on the Internet.
50,Ciencia de datos,Expertos en ciencia de datos,What is a computer scientist? A computer scientist uses data to solve problems.,Data science is a branch of computer science that uses data to make things work.
51,Ciencia de datos,Ejemplo de ciencia de datos,What is the main new approach of the NCA?,The UK's National Crime Agency (NCA) has developed a new way to identify cyber threats. It uses machine learning to find patterns in data.
52,Ciencia de datos,Definición de ciencia de datos,What does data science mean?,Many universities and research institutions have been using the term data science for a long time.
53,Ciencia de datos,Definición de ciencia de datos,What is the PhD program topic at the University of Bristol?,The University of Bristol offers a data science PhD.
54,Ciencia de datos,Definición de ciencia de datos,What is the data science term?,Data science is a science that uses information to solve problems.
55,Ciencia de datos,Ventajas de la ciencia de datos,What does it mean to use data to change the way we work?,The use of data to improve the way we work has become an important part of many companies.
56,Computación Ecológica,Definición de computación Ecológica,What is the name of the project that the GPC is working on?,The Green Computing Project (GPC) at the University of Cambridge is helping people learn more about green computers and how they can use them.
57,Computación Ecológica,Definición de computación Ecológica,What is the purpose of this project to promote green computing use?,World Green Computing Council The World Green Computing Council (WGC) is an international organization.
58,Función Hash,Definición de función hash,What is a cryptographic hash function?,This page explains how to use a hash function in Python. It uses the Python programming language.
59,Función Hash,Definición de función hash,What exactly is a hash function?,A Hash function is a mathematical function. It can be used to get a certain number of information.
60,Función Hash,Definición de función hash,What exactly is a hash function?,A hash function is a function that can be used to get information about an element.
61,Grafo,Definición de grafo,What is a graph definition?,A graph is a way to show information about a system or set.
62,Grafo,Definición de grafo,What is a graph definition?,"In mathematics, a graph is a set of objects that can be put together in a certain way."
63,Grafo,Definición de grafo,What does grafo mean?,Graph theory is a branch of mathematics that studies how information is related to people.
64,Internet de las Cosas (IoT),Definición de Internet de las Cosas (IoT),What is the internet of things definition?,"Dan Biles, the BBC's technology correspondent, looks at the internet of things future."
65,Internet de las Cosas (IoT),Características de Internet de las Cosas (IoT),What exactly is the Internet of Things?,The Internet of Things (IoT) is an important technology in technology.
66,Internet de las Cosas (IoT),Ejemplo de Internet de las Cosas (IoT),What is Garageio?,Garageio is a new app that allows you to control your garage from home by connecting to the app.
67,Internet de las Cosas (IoT),Ejemplo de Internet de las Cosas (IoT),What is the internet's name?,"The University of California, Berkeley is developing a new type of shoe."
68,Internet de las Cosas (IoT),Características de Internet de las Cosas (IoT),What is the definition of sensors and actuators in the home?,The use of actuators and sensors in the home is growing.
69,Metadatos,Definición de metadatos,What exactly is metadata?,Metadata is a very important part of software development.
70,Metadatos,Definición de metadatos,What exactly is metadata?,Metadata is a word that many people use to describe information.
71,Metadatos,Definición de metadatos,What exactly is metadata?,Metadata is the information that goes along with data.
72,Metaverso,Ejemplo de metaverso,"What is the name of the University of California, Los Angeles-based method?","University of California, Los Angeles scientists have developed a way to stop people from getting sick if they get sick."
73,Metaverso,Definición de metaverso,What does Richard Black mean by this?,"Richard Black, the BBC's technology correspondent, explains what the metaverse is."
74,Metaverso,Definición de metaverso,What does metaverso mean?,"The University of California, Los Angeles (UCLA) has developed a new technology called Metaverse."
75,Metaverso,Definición de metaverso,What exactly is a metaverse?,A metaverse is a new way for people to explore the world.
76,Metaverso,Ejemplo de metaverso,What is the name of the European Commission report?,"The European Commission has published a report on machine testing ""breakthrough"" technology."
77,Modelo,Definición de modelo,What exactly is a machine learning model?,A machine learning model is a computer file that has been trained to know certain things.
78,Modelo,Definición de modelo,What is the project's goal?,The goal of this project is to create a new type of data analysis.
79,Modelo,Definición de modelo,What is a model definition?,This paper shows how to train an artificial intelligence model to predict what will happen in the future.
80,Modelo,Definición de modelo,What is a model definition?,AI is a science that is trying to improve how we use and think about data.
81,Modelos generativos,Definición de modelos generativos,What type of model is being used to train computer systems?,Generative models are a new computer training method.
82,Modelos generativos,Ejemplo de modelos generativos,What is a model-based learning approach?,Image-based learning is a new computer training method.
83,Modelos generativos,Definición de modelos generativos,What is the current model that we present?,We present an unsupervised learning model for large-scale data sets.
84,Modelos generativos,Definición de modelos generativos,What is the name of the paper that describes how ofrative models are used to train computer systems to distinguish between real and fake examples?,The purpose of this paper is to train computer systems to distinguish between real and artificial examples.
85,Máquina de Turing,Definición de máquina de Turing,What is Alan Turing's famous lecture about?,"To celebrate the 80th anniversary of the creation of the first computer, the University of California, Berkeley has organized a series of lectures by Alan Turing. Turing was the man who first proposed the idea of a computer."
86,Máquina de Turing,Definición de máquina de Turing,What is the most important computer machine in computer science?,The Turing machine and computer science are two of the most important topics in computer science.
87,Máquina de Turing,Definición de máquina de Turing,What is the name of Alan Turing's machine?,"The BBC's science correspondent, Richard Black, has been to the University of Cambridge to see what it is like to work with a Turing machine."
88,Máquina de Turing,Definición de máquina de Turing,What was the machine's name and what was its work?,"The BBC's science correspondent, Jeremy Vine, went to Bletchley Park during World War Two to see how the machine worked."
89,Prolog,Definición de Prolog,What language is Vine currently working on with Le Gall?,"The BBC's science correspondent, Jeremy Vine, is working with Pierre-Yves Le Gall, a French computer scientist, to develop a language for artificial intelligence."
90,Prolog,Definición de Prolog,What is the name of the European Research Award-winning project?,"The PROLOG project has been awarded the European Union's highest research award, the European Research Award (Eredo), for its work on artificial intelligence."
91,Prolog,Definición de Prolog,What is the name of the tutorial in Prolog that shows you how to solve a factorial?,"In this tutorial, I will show you how to use the Prolog language to solve factorial."
92,Realidad aumentada,Definición de realidad aumentada,What exactly is augmented reality?,The BBC's science and technology correspondent Nick Thorpe explains how the new technology can be used to create new media.
93,Realidad aumentada,Definición de realidad aumentada,What exactly is augmented reality?,"The BBC's technology correspondent, Chris McGrath, explains how our daily lives can be improved by augmented reality."
94,Realidad aumentada,Ejemplo de realidad aumentada,What exactly is augmented reality?,"Augmented reality is when you use your computer, smartphone or tablet to view the world around you."
95,Realidad aumentada,Definición de realidad aumentada,What exactly is augmented reality?,The Augmented Reality Association (ARA) is a non-profit organization. Its purpose is to promote the use of augmented reality.
96,Reglas de asociación,Definición de reglas de asociación,What are the organization rules?,"In this paper, we will look at decision trees and association rules."
97,Reglas de asociación,Ejemplo de reglas de asociación,What is the name of the rule that says that the person who bought the book from the seller will be the user.,"The idea behind the idea is that if a user buys a book, the book will be given to the user who bought it from the seller."
98,Reglas de asociación,Definición de reglas de asociación,What is a group rule definition?,The association rule is a set of rules that allow people to store and group things.
99,Smart data,Definición de smart data,What is the term used to describe data that is not yet ready for use but can be used?,"The term ""smart data"" is used for data that is ready to be used, but does not yet need to be used."
100,Smart data,Definición de smart data,What is a smart data definition?,Smart data is a technology that makes information more useful by using information.
101,Smart data,Definición de smart data,What is the new type of information collection system?,The British government has announced that it will introduce a new type of data collection system called Smart Data. This system will be able to collect a lot of data in a short period of time.
102,Sobreajuste,Definición de sobreajuste,What exactly is a sobreajuste?,A new study shows that neural networks can be overfitted.
103,Sobreajuste,Definición de sobreajuste,What exactly is a sobreajuste?,This video shows how to fit a computer model.
104,Sobreajuste,Definición de sobreajuste,What does overfitting mean?,The term 'overfitting' is a common term in machine learning. It means that the model is too complex for humans to understand.
105,Subajuste,Causa de subajuste,What is the condition that a 3D printer should be kept in?,We have been using a 3D printer for a long time and have found that it is very expensive to keep up.
106,Subajuste,Definición de subajuste,What exactly is a subajustment?,"When a system does not work properly, it is called underfitting."
107,Subajuste,Definición de subajuste,What is the machine learning problem name?,"In this article, I will talk about a little-known machine learning problem."
108,Sugar code,Definición de sugar code,What is a sugar code definition?,"In this video, you will learn how to use sugar to write code."
109,Tabla Hash,Definición de tabla hash,What exactly is a tabla hash?,A hash table is an important tool when looking for data.
110,Tabla Hash,Definición de tabla hash,What exactly is a tabla hash?,A hash table is a kind of data structure. It contains keys and values.
111,Tabla Hash,Definición de tabla hash,What exactly is a tabla hash?,A hash table is a popular way to store information.
112,Test de Turing,Definición de test de Turing,What test did it pass?,The BBC reported that a machine called DeepMind had passed the test for the first time.
113,Test de Turing,Definición de test de Turing,What is the test that is used to check the machine's intelligence?,"The BBC's science correspondent, Richard Galpin, explains how the test is used, and why it is important."
114,Test de Turing,Definición de test de Turing,What is the name of the team working with Nick Thorpe to test the theory that machines can understand human speech?,"The BBC's science correspondent, Nick Thorpe, has been working with Alan Turing, to test how well a computer could understand human speech."
115,Turing completo,Definición de turing completo,What is the name of the computer system that the University of Bristol has developed?,"A computer system that could be used to ""Turing complete"" has been developed, but no-one has used it yet."
116,Turing completo,Definición de turing completo,What is the work of Alan Turing?,Alan Turing was a British computer scientist. He was born on 28 March 1941.
117,Turing completo,Definición de turing completo,What is a Turing complete computer system?,"In this video, Dr. John-Paul Sartre explains why a Turing Complete system is a good idea, and why it is not."
118,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),What is a computer graphics processing unit?,A graphics processing unit (GPU) is a special part of a computer. It is used to make graphics.
119,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),What is a computer graphics processing unit?,"A graphics processing unit (GPU) or graphics processor is a part of a computer. It is used to do graphics work, such as making graphics on a video game, or to make 3D graphics on a computer program."
120,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),What is a computer graphics processing unit?,GPU- accelerated computing is the use of a graphics processing unit (GPU) in conjunction with a CPU to increase the performance of computer programs by making them faster.
121,Unidad de Procesamiento Gráfico (GPU),Definición de Unidad de Procesamiento Gráfico (GPU),What is the computer chip's name and what is its purpose?,A graphics processing unit (GPU) is a computer chip.
122,Variables dummy,Definición de variables dummy,What exactly is a dummy variable?,"The researchers at the University of Oxford have written about the effect of a dummy variable on a study in the paper ""Effects of a dummy variable on a study""."
123,Variables dummy,Definición de variables dummy,What is the dummy variable name?,The following table lists all the comments the committee made.
124,Variables dummy,Definición de variables dummy,What exactly is a variable dummy?,"In this article, you will learn how to create a dummy variable."
125,Xenobot,Definición de xenobot,What is the name of the robot created from a living frog embryo?,A robot that has been designed from scratch from a living frog embryo has been unveiled at a conference in Berlin. The European Society for the Study of Reproduction (ESSR).
126,Xenobot,Historia de xenobot,What is the name of the robot that can talk and swim?,A robot that can talk and swim has been created in the US.
127,Xenobot,Definición de xenobot,What exactly is a xenobot?,Xenobots are the latest in a long line of living machines.
128,Xenobot,Definición de xenobot,"What is the xenobot's name? It can fly, swim and crawl.","A team of scientists at the University of California, Berkeley, has created a robot that can move around and swim."
129,Árbol,Definición de árbol,What is a tree definition?,"In this course, we will learn how to use trees in different ways."
130,Árbol,Definición de árbol,What does arbol mean?,In this article we will talk about different data structures and how they can be used in the Internet.
131,Árbol,Definición de árbol,What does a directory tree look like?,"A directory tree is a kind of data structure. In a directory tree, each row of characters has a different number of characters."
132,Árbol,Definición de árbol,What is a tree definition?,"In computer science, a tree is a structure of data."
133,Árbol de Merkle,Definición de árbol de Merkle,What does a hash tree look like?,A Merkle hash tree is a kind of data structure. Each node of the tree has a label and some values.
134,Árbol de Merkle,Definición de árbol de Merkle,What does the Merkle tree look like?,The Merkle tree is a distributed ledger system. It can be used to store large amounts of information.
135,Árbol de Merkle,Definición de árbol de Merkle,What exactly is a hash tree?,"Hash trees are a great way to store data, but they can be difficult to use."
136,Árbol de decisión,Definición de árbol de decisión,What is a decision tree structure?,A decision tree diagram is an important tool when making decisions.
137,Árbol de decisión,Definición de árbol de decisión,What is the information model used in artificial intelligence?,A decision tree is a model to predict what will happen in the future. It is used in many fields.
138,Árbol de decisión,Definición de árbol de decisión,What is the tree's name?,The tree is an important part of learning though.
