Topic,Subject,Question,Answer
"Modelos generativos","Definición de modelos generativos","What is the name of the paper that describes how ofrative models are used to train computer systems to distinguish between real and fake examples?","The purpose of this paper is to train computer systems to distinguish between real and artificial examples."
"Modelos generativos","Definición de modelos generativos","What is the current model that we present?","We present an unsupervised learning model for large-scale data sets."
"Máquina de Turing","Definición de máquina de Turing","What is the most important computer machine in computer science?","The Turing machine and computer science are two of the most important topics in computer science."
"Máquina de Turing","Definición de máquina de Turing","What was the machine's name and what was its work?","The BBC's science correspondent, Jeremy Vine, went to Bletchley Park during World War Two to see how the machine worked."
"Máquina de Turing","Definición de máquina de Turing","What is the name of Alan Turing's machine?","The BBC's science correspondent, Richard Black, has been to the University of Cambridge to see what it is like to work with a Turing machine."
"Máquina de Turing","Definición de máquina de Turing","What is Alan Turing's famous lecture about?","To celebrate the 80th anniversary of the creation of the first computer, the University of California, Berkeley has organized a series of lectures by Alan Turing. Turing was the man who first proposed the idea of a computer."
"Prolog","Definición de Prolog","What is the name of the European Research Award-winning project?","The PROLOG project has been awarded the European Union's highest research award, the European Research Award (Eredo), for its work on artificial intelligence."
"Prolog","Definición de Prolog","What is the name of the tutorial in Prolog that shows you how to solve a factorial?","In this tutorial, I will show you how to use the Prolog language to solve factorial."
"Prolog","Definición de Prolog","What language is Vine currently working on with Le Gall?","The BBC's science correspondent, Jeremy Vine, is working with Pierre-Yves Le Gall, a French computer scientist, to develop a language for artificial intelligence."
"Realidad aumentada","Definición de realidad aumentada","What exactly is augmented reality?","The Augmented Reality Association (ARA) is a non-profit organization. Its purpose is to promote the use of augmented reality."
"Realidad aumentada","Ejemplo de realidad aumentada","What exactly is augmented reality?","Augmented reality is when you use your computer, smartphone or tablet to view the world around you."
"Realidad aumentada","Definición de realidad aumentada","What exactly is augmented reality?","The BBC's technology correspondent, Chris McGrath, explains how our daily lives can be improved by augmented reality."
"Realidad aumentada","Definición de realidad aumentada","What exactly is augmented reality?","The BBC's science and technology correspondent Nick Thorpe explains how the new technology can be used to create new media."
"Reglas de asociación","Ejemplo de reglas de asociación","What is the name of the rule that says that the person who bought the book from the seller will be the user.","The idea behind the idea is that if a user buys a book, the book will be given to the user who bought it from the seller."
"Reglas de asociación","Definición de reglas de asociación","What is a group rule definition?","The association rule is a set of rules that allow people to store and group things."
"Reglas de asociación","Definición de reglas de asociación","What are the organization rules?","In this paper, we will look at decision trees and association rules."
"Smart data","Definición de smart data","What is the term used to describe data that is not yet ready for use but can be used?","The term 'smart data' is used for data that is ready to be used, but does not yet need to be used."
"Smart data","Definición de smart data","What is the new type of information collection system?","The British government has announced that it will introduce a new type of data collection system called Smart Data. This system will be able to collect a lot of data in a short period of time."
"Smart data","Definición de smart data","What is a smart data definition?","Smart data is a technology that makes information more useful by using information."
"Sobreajuste","Definición de sobreajuste","What exactly is a sobreajuste?","A new study shows that neural networks can be overfitted."
"Sobreajuste","Definición de sobreajuste","What does overfitting mean?","The term 'overfitting' is a common term in machine learning. It means that the model is too complex for humans to understand."
"Sobreajuste","Definición de sobreajuste","What exactly is a sobreajuste?","This video shows how to fit a computer model."
"Subajuste","Causa de subajuste","What is the condition that a 3D printer should be kept in?","We have been using a 3D printer for a long time and have found that it is very expensive to keep up."
"Subajuste","Definición de subajuste","What is the machine learning problem name?","In this article, I will talk about a little-known machine learning problem."
"Subajuste","Definición de subajuste","What exactly is a subajustment?","When a system does not work properly, it is called underfitting."
"Sugar code","Definición de sugar code","What is a sugar code definition?","In this video, you will learn how to use sugar to write code."
"Tabla Hash","Definición de tabla hash","What exactly is a tabla hash?","A hash table is a popular way to store information."
"Tabla Hash","Definición de tabla hash","What exactly is a tabla hash?","A hash table is a kind of data structure. It contains keys and values."
"Tabla Hash","Definición de tabla hash","What exactly is a tabla hash?","A hash table is an important tool when looking for data."
"Test de Turing","Definición de test de Turing","What is the test that is used to check the machine's intelligence?","The BBC's science correspondent, Richard Galpin, explains how the test is used, and why it is important."
"Test de Turing","Definición de test de Turing","What is the name of the team working with Nick Thorpe to test the theory that machines can understand human speech?","The BBC's science correspondent, Nick Thorpe, has been working with Alan Turing, to test how well a computer could understand human speech."
"Test de Turing","Definición de test de Turing","What test did it pass?","The BBC reported that a machine called DeepMind had passed the test for the first time."
"Turing completo","Definición de turing completo","What is the name of the computer system that the University of Bristol has developed?","A computer system that could be used to 'Turing complete' has been developed, but no-one has used it yet."
"Turing completo","Definición de turing completo","What is the work of Alan Turing?","Alan Turing was a British computer scientist. He was born on 28 March 1941."
"Turing completo","Definición de turing completo","What is a Turing complete computer system?","In this video, Dr. John-Paul Sartre explains why a Turing Complete system is a good idea, and why it is not."
"Unidad de Procesamiento Gráfico (GPU)","Definición de Unidad de Procesamiento Gráfico (GPU)","What is the computer chip's name and what is its purpose?","A graphics processing unit (GPU) is a computer chip."
"Unidad de Procesamiento Gráfico (GPU)","Definición de Unidad de Procesamiento Gráfico (GPU)","What is a computer graphics processing unit?","GPU- accelerated computing is the use of a graphics processing unit (GPU) in conjunction with a CPU to increase the performance of computer programs by making them faster."
"Unidad de Procesamiento Gráfico (GPU)","Definición de Unidad de Procesamiento Gráfico (GPU)","What is a computer graphics processing unit?","A graphics processing unit (GPU) is a special part of a computer. It is used to make graphics."
"Unidad de Procesamiento Gráfico (GPU)","Definición de Unidad de Procesamiento Gráfico (GPU)","What is a computer graphics processing unit?","A graphics processing unit (GPU) or graphics processor is a part of a computer. It is used to do graphics work, such as making graphics on a video game, or to make 3D graphics on a computer program."
"Variables dummy","Definición de variables dummy","What exactly is a dummy variable?","The researchers at the University of Oxford have written about the effect of a dummy variable on a study in the paper 'Effects of a dummy variable on a study'."
"Variables dummy","Definición de variables dummy","What is the dummy variable name?","The following table lists all the comments the committee made."
"Variables dummy","Definición de variables dummy","What exactly is a variable dummy?","In this article, you will learn how to create a dummy variable."
"Xenobot","Definición de xenobot","What is the xenobot's name? It can fly, swim and crawl.","A team of scientists at the University of California, Berkeley, has created a robot that can move around and swim."
"Xenobot","Historia de xenobot","What is the name of the robot that can talk and swim?","A robot that can talk and swim has been created in the US."
"Xenobot","Definición de xenobot","What is the name of the robot created from a living frog embryo?","A robot that has been designed from scratch from a living frog embryo has been unveiled at a conference in Berlin. The European Society for the Study of Reproduction (ESSR)."
"Xenobot","Definición de xenobot","What exactly is a xenobot?","Xenobots are the latest in a long line of living machines."
"Árbol","Definición de árbol","What does a directory tree look like?","A directory tree is a kind of data structure. In a directory tree, each row of characters has a different number of characters."
"Árbol","Definición de árbol","What does arbol mean?","In this article we will talk about different data structures and how they can be used in the Internet."
"Árbol","Definición de árbol","What is a tree definition?","In this course, we will learn how to use trees in different ways."
"Árbol","Definición de árbol","What is a tree definition?","In computer science, a tree is a structure of data."
"Árbol de Merkle","Definición de árbol de Merkle","What exactly is a hash tree?","Hash trees are a great way to store data, but they can be difficult to use."
"Árbol de Merkle","Definición de árbol de Merkle","What does a hash tree look like?","A Merkle hash tree is a kind of data structure. Each node of the tree has a label and some values."
"Árbol de Merkle","Definición de árbol de Merkle","What does the Merkle tree look like?","The Merkle tree is a distributed ledger system. It can be used to store large amounts of information."
"Árbol de decisión","Definición de árbol de decisión","What is a decision tree structure?","A decision tree diagram is an important tool when making decisions."
"Árbol de decisión","Definición de árbol de decisión","What is the information model used in artificial intelligence?","A decision tree is a model to predict what will happen in the future. It is used in many fields."
"Árbol de decisión","Definición de árbol de decisión","What is the tree's name?","The tree is an important part of learning though."
